group_size, ncues, path_length, decision_time
6, 2, 561.311, 1265
6, 2, 549.322, 1222
6, 2, 574.927, 1284
6, 2, 568.276, 1274
6, 2, 572.215, 1276
6, 2, 582.233, 1310
6, 2, 562.009, 1261
6, 2, 565.651, 1264
6, 2, 551.945, 1232
6, 2, 571.644, 1277
6, 2, 561.232, 1253
6, 2, 561.612, 1247
6, 2, 567.054, 1270
6, 2, 570.599, 1284
6, 2, 564.198, 1257
6, 2, 564.509, 1259
6, 2, 566.506, 1270
6, 2, 562.623, 1254
6, 2, 563.241, 1254
6, 2, 556.857, 1238
6, 2, 637.547, 1475
6, 2, 562.731, 1248
6, 2, 566.035, 1261
6, 2, 561.48, 1250
6, 2, 564.579, 1255
6, 2, 557.463, 1237
6, 2, 588.243, 1336
6, 2, 564.199, 1261
6, 2, 572.449, 1276
6, 2, 574.576, 1282
6, 2, 559.394, 1249
6, 2, 569.937, 1272
6, 2, 566.741, 1269
6, 2, 569.769, 1276
6, 2, 554.72, 1238
6, 2, 581.784, 1321
6, 2, 577.522, 1289
6, 2, 567.266, 1260
6, 2, 557.761, 1238
6, 2, 569.786, 1275
6, 2, 562.784, 1256
6, 2, 565.201, 1274
6, 2, 557.465, 1248
6, 2, 562.185, 1253
6, 2, 570.188, 1282
6, 2, 585.632, 1328
6, 2, 562.592, 1255
6, 2, 571.935, 1277
6, 2, 568.015, 1276
6, 2, 564.276, 1257
6, 2, 556.879, 1240
6, 2, 571.608, 1287
6, 2, 565.444, 1253
6, 2, 565.893, 1261
6, 2, 571.999, 1285
6, 2, 563.336, 1259
6, 2, 563.382, 1253
6, 2, 564.594, 1267
6, 2, 566.41, 1260
6, 2, 575.183, 1287
6, 2, 553.529, 1223
6, 2, 566.38, 1258
6, 2, 579.478, 1305
6, 2, 561.951, 1256
6, 2, 559.191, 1248
6, 2, 556.064, 1241
6, 2, 558.756, 1242
6, 2, 558.241, 1244
6, 2, 561.268, 1250
6, 2, 565.984, 1264
6, 2, 555.116, 1234
6, 2, 559.752, 1245
6, 2, 575.932, 1289
6, 2, 560.201, 1255
6, 2, 573.972, 1282
6, 2, 560.784, 1246
6, 2, 575.311, 1286
6, 2, 561.618, 1248
6, 2, 568.98, 1279
6, 2, 567.733, 1262
6, 2, 558.603, 1248
6, 2, 570.006, 1276
6, 2, 565.819, 1272
6, 2, 554.162, 1228
6, 2, 572, 1282
6, 2, 567.116, 1269
6, 2, 560.636, 1252
6, 2, 565.493, 1260
6, 2, 569.799, 1276
6, 2, 552.382, 1226
6, 2, 569.363, 1271
6, 2, 564.742, 1256
6, 2, 561.496, 1249
6, 2, 570.005, 1274
6, 2, 580.658, 1310
6, 2, 559.53, 1242
6, 2, 563.903, 1254
6, 2, 557.387, 1248
6, 2, 563.568, 1260
6, 2, 565.318, 1258
6, 2, 566.784, 1267
6, 2, 570.373, 1277
6, 2, 558.786, 1252
6, 2, 563.36, 1252
6, 2, 566.1, 1271
6, 2, 574.13, 1294
